Timestamp,Turbine_ID,Timestamp,Gen_RPM_Max,Gen_RPM_Min,Gen_RPM_Avg,Gen_RPM_Std,Gen_Bear_Temp_Avg,Gen_Phase1_Temp_Avg,Gen_Phase2_Temp_Avg,Gen_Phase3_Temp_Avg,Hyd_Oil_Temp_Avg,Gear_Oil_Temp_Avg,Gear_Bear_Temp_Avg,Nac_Temp_Avg,Rtr_RPM_Max,Rtr_RPM_Min,Rtr_RPM_Avg,Amb_WindSpeed_Max,Amb_WindSpeed_Min,Amb_WindSpeed_Avg,Amb_WindSpeed_Std,Amb_WindDir_Relative_Avg,Amb_WindDir_Abs_Avg,Amb_Temp_Avg,Prod_LatestAvg_ActPwrGen0,Prod_LatestAvg_ActPwrGen1,Prod_LatestAvg_ActPwrGen2,Prod_LatestAvg_TotActPwr,Prod_LatestAvg_ReactPwrGen0,Prod_LatestAvg_ReactPwrGen1,Prod_LatestAvg_ReactPwrGen2,Prod_LatestAvg_TotReactPwr,HVTrafo_Phase1_Temp_Avg,HVTrafo_Phase2_Temp_Avg,HVTrafo_Phase3_Temp_Avg,Grd_InverterPhase1_Temp_Avg,Cont_Top_Temp_Avg,Cont_Hub_Temp_Avg,Cont_VCP_Temp_Avg,Gen_SlipRing_Temp_Avg,Spin_Temp_Avg,Blds_PitchAngle_Min,Blds_PitchAngle_Max,Blds_PitchAngle_Avg,Blds_PitchAngle_Std,Cont_VCP_ChokcoilTemp_Avg,Grd_RtrInvPhase1_Temp_Avg,Grd_RtrInvPhase2_Temp_Avg,Grd_RtrInvPhase3_Temp_Avg,Cont_VCP_WtrTemp_Avg,Grd_Prod_Pwr_Avg,Grd_Prod_CosPhi_Avg,Grd_Prod_Freq_Avg,Grd_Prod_VoltPhse1_Avg,Grd_Prod_VoltPhse2_Avg,Grd_Prod_VoltPhse3_Avg,Grd_Prod_CurPhse1_Avg,Grd_Prod_CurPhse2_Avg,Grd_Prod_CurPhse3_Avg,Grd_Prod_Pwr_Max,Grd_Prod_Pwr_Min,Grd_Busbar_Temp_Avg,Rtr_RPM_Std,Amb_WindSpeed_Est_Avg,Grd_Prod_Pwr_Std,Grd_Prod_ReactPwr_Avg,Grd_Prod_ReactPwr_Max,Grd_Prod_ReactPwr_Min,Grd_Prod_ReactPwr_Std,Grd_Prod_PsblePwr_Avg,Grd_Prod_PsblePwr_Max,Grd_Prod_PsblePwr_Min,Grd_Prod_PsblePwr_Std,Grd_Prod_PsbleInd_Avg,Grd_Prod_PsbleInd_Max,Grd_Prod_PsbleInd_Min,Grd_Prod_PsbleInd_Std,Grd_Prod_PsbleCap_Avg,Grd_Prod_PsbleCap_Max,Grd_Prod_PsbleCap_Min,Grd_Prod_PsbleCap_Std,Gen_Bear2_Temp_Avg,Nac_Direction_Avg
2016-01-01 00:00:00+00:00,T01,2016-01-01 00:00:00+00:00,1277.4,1226.1,1249.0,9.0,41.0,58,59,58,30,44,48,28,11.3,10.9,11.1,11.6,0.5,3.3,0.9,-12.4,206.1,18,-107,4420.0,0,4313.0,-99,-5636,0,-5735,68,76,65,39,39,28,43,25,20,-1.1,4.5,0.6,0.9,91,39,39,38,39,26.2,0.7,50.0,401.6,399.9,399.2,46.5,61.1,45.5,118.4,-33.5,38,0.1,3.6,35.3,-34.9,13.2,-100.0,36.2,29.4,119.3,0.0,31.9,-144.4,0.0,-584.5,157.1,144.4,584.5,0.0,157.1,37,218.5
2016-01-01 00:10:00+00:00,T01,2016-01-01 00:10:00+00:00,1268.3,93.3,999.7,435.9,41.0,58,59,59,30,44,48,28,11.2,0.0,8.8,12.5,0.4,3.2,0.9,-1.1,217.4,18,-753,2488.0,0,1735.0,-867,-3871,0,-4738,68,76,65,38,39,28,42,25,20,-0.9,59.6,8.1,14.7,91,37,36,37,37,10.1,0.7,50.0,401.9,400.7,399.5,34.3,41.9,33.6,101.5,-38.2,38,4.0,3.3,30.2,-28.0,1.8,-100.1,34.6,21.7,102.3,0.0,24.7,-79.6,0.0,-501.0,123.7,79.6,501.0,0.0,123.7,37,218.5
2016-01-01 00:20:00+00:00,T01,2016-01-01 00:20:00+00:00,1394.4,220.3,774.0,486.1,41.0,57,57,57,30,43,46,29,12.3,1.9,6.8,8.8,0.7,4.3,1.0,-5.8,207.4,18,-784,10488.0,0,9704.0,-410,-1865,0,-2275,68,76,65,39,39,28,42,25,20,-2.2,24.0,10.4,12.4,87,38,37,37,38,59.0,0.7,50.0,401.4,400.5,398.8,78.6,92.7,86.1,219.4,-34.1,38,4.3,4.1,77.5,-13.9,999.9,-108.1,154.8,88.9,224.9,0.0,54.3,-314.0,0.0,-1000.0,357.4,314.0,1000.0,0.0,357.4,37,213.3
2016-01-01 00:30:00+00:00,T01,2016-01-01 00:30:00+00:00,1306.6,1212.4,1257.1,17.0,40.0,56,57,57,30,44,48,28,11.5,10.7,11.1,9.9,0.7,4.4,1.1,9.6,232.0,18,0,22673.0,0,22673.0,0,-15822,0,-15822,68,76,65,39,39,28,42,25,20,-1.9,0.9,-0.5,0.8,87,38,38,38,38,135.7,0.8,50.0,399.7,398.1,396.9,128.1,160.8,136.8,250.3,-27.7,38,0.1,4.6,53.9,-94.9,0.0,-105.1,18.4,135.3,261.4,0.0,53.1,-654.0,0.0,-1000.0,245.8,654.0,1000.0,0.0,245.8,36,222.4
2016-01-01 00:40:00+00:00,T01,2016-01-01 00:40:00+00:00,1320.9,1224.1,1257.7,18.0,40.0,57,58,57,30,44,48,28,11.7,10.8,11.1,9.9,0.8,4.1,1.2,23.3,245.6,18,-75,16581.0,0,16506.0,-79,-13314,0,-13394,68,76,65,39,39,28,42,25,20,-2.0,4.4,-0.1,1.2,88,39,38,38,39,98.9,0.7,50.0,399.5,397.9,396.8,104.7,130.3,108.3,212.5,-50.2,38,0.2,4.3,65.9,-80.3,17.8,-107.1,35.8,102.7,221.8,0.0,60.2,-496.1,0.0,-1000.0,302.7,496.1,1000.0,0.0,302.7,36,222.4
2016-01-01 00:50:00+00:00,T01,2016-01-01 00:50:00+00:00,1462.6,1249.5,1328.5,48.3,40.0,58,59,58,30,45,50,28,13.0,11.1,11.8,8.9,2.8,6.0,0.8,-7.6,213.7,18,0,53374.0,0,53374.0,0,-16571,0,-16571,68,76,65,39,39,28,42,26,20,-2.3,-0.5,-1.8,0.3,89,39,39,38,38,320.3,1.0,50.0,398.9,397.4,394.7,260.8,297.6,282.4,475.6,140.9,38,0.4,5.8,69.3,-99.4,-86.8,-108.0,5.6,320.7,478.1,145.9,68.8,-996.0,-714.7,-1000.0,27.4,996.0,1000.0,714.7,27.4,36,221.3
2016-01-01 01:00:00+00:00,T01,2016-01-01 01:00:00+00:00,1350.0,1228.0,1265.5,22.5,40.0,59,60,59,30,45,50,28,12.0,10.9,11.2,8.9,1.7,5.1,0.8,7.4,228.7,18,0,28196.0,0,28196.0,0,-13635,0,-13635,68,76,65,40,39,28,42,26,20,-2.2,0.7,-1.2,0.6,90,39,39,38,39,168.7,0.9,50.0,396.4,394.9,393.5,142.9,176.4,158.1,321.3,14.4,38,0.2,4.9,58.6,-81.8,-70.8,-90.6,3.3,168.6,323.5,13.5,58.7,-772.6,-66.3,-1000.0,211.7,772.6,1000.0,66.3,211.7,37,221.3
2016-01-01 01:10:00+00:00,T01,2016-01-01 01:10:00+00:00,1335.2,1225.1,1268.7,18.6,40.0,59,60,60,30,45,50,28,11.8,10.9,11.2,8.7,1.9,5.3,0.7,13.5,234.8,18,0,33216.0,0,33216.0,0,-13073,0,-13073,68,76,65,39,39,28,42,26,20,-2.7,0.2,-1.3,0.4,91,38,38,38,38,199.7,0.9,50.0,397.9,396.7,394.9,162.1,196.5,182.7,334.0,80.9,38,0.2,5.1,56.8,-78.5,-68.8,-87.1,4.0,200.1,339.4,80.2,56.5,-878.3,-393.0,-1000.0,170.7,878.3,1000.0,393.0,170.7,37,221.3
2016-01-01 01:20:00+00:00,T01,2016-01-01 01:20:00+00:00,1370.7,1230.8,1279.4,25.6,40.0,60,61,60,30,45,50,28,12.1,10.9,11.3,9.2,2.0,5.4,0.8,-15.3,206.0,18,0,36387.0,0,36387.0,0,-13543,0,-13543,68,76,65,39,39,28,43,26,20,-2.2,0.5,-1.5,0.5,92,38,38,38,38,218.3,0.9,50.0,398.8,397.5,395.6,177.0,210.7,196.5,332.8,87.2,39,0.2,5.2,50.9,-81.3,-72.9,-94.0,4.3,218.7,338.4,85.6,51.7,-926.4,-419.1,-1000.0,138.9,926.4,1000.0,419.1,138.9,38,221.3
2016-01-01 01:30:00+00:00,T01,2016-01-01 01:30:00+00:00,1375.7,1212.2,1272.0,33.5,41.0,61,61,61,30,46,50,28,12.2,10.7,11.3,8.7,0.4,4.6,1.5,-2.2,219.1,18,-86,25695.0,0,25609.0,-79,-10222,0,-10301,68,77,66,39,40,28,43,26,20,-2.3,1.8,-0.8,1.2,93,38,38,37,38,152.7,0.9,50.0,399.4,398.0,396.3,135.5,159.8,147.0,359.1,-38.9,39,0.3,4.6,123.7,-61.2,0.3,-100.2,34.2,155.1,362.6,0.0,119.4,-599.9,0.0,-1000.0,413.6,599.9,1000.0,0.0,413.6,38,221.3
